Index,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,Alt,Temp
336,-0.530944,0.049776,0.840336,66.099998,8.200000,25.400000,28,-2,-6,53.375000,"33.937500
"
337,-0.544608,0.045872,0.839360,64.300003,9.500000,21.400000,36,2,0,53.375000,"33.000000
"
338,-0.533872,0.044896,0.848632,65.199997,9.900000,20.799999,47,-79,2,52.875000,"33.000000
"
339,-0.496296,0.052704,0.859856,64.400002,8.300000,24.100000,61,-248,2,52.875000,"33.000000
"
340,-0.430416,0.066856,0.892552,62.299999,10.100000,24.799999,60,-207,16,52.875000,"33.000000
"
341,-0.398208,0.068320,0.903776,62.400002,9.600000,25.000000,17,39,10,53.500000,"33.000000
"
342,-0.422120,0.066368,0.904752,62.000000,8.700000,23.100000,-6,205,-17,53.500000,"33.937500
"
343,-0.508984,0.050752,0.858880,65.199997,9.200000,23.900000,35,-247,-3,53.500000,"33.937500
"
344,-0.485560,0.050752,0.866688,64.800003,9.400000,24.100000,34,-69,9,51.500000,"33.000000
"
345,-0.483608,0.050752,0.868640,64.300003,9.500000,24.100000,26,2,8,51.500000,"33.000000
"
346,-0.490440,0.050752,0.869616,64.400002,10.400000,22.799999,19,10,6,51.500000,"33.000000
"
347,-0.494344,0.053680,0.865712,64.500000,9.800000,20.900000,6,17,9,53.250000,"33.000000
"
348,-0.495320,0.056608,0.870104,64.099998,9.800000,20.900000,31,-28,3,53.250000,"33.000000
"
349,-0.449936,0.061488,0.888160,63.400002,9.300000,24.900000,46,-184,1,53.250000,"33.000000
"
350,-0.410896,0.064416,0.908656,62.400002,9.400000,22.799999,43,-84,5,54.375000,"33.000000
"
351,-0.386984,0.073200,0.913048,61.200001,10.100000,24.200001,40,-259,11,54.375000,"33.000000
"
352,-0.401136,0.067344,0.913048,61.500000,8.700000,25.600000,22,-2,6,54.375000,"33.000000
"
353,-0.405040,0.064416,0.908656,62.799999,9.600000,24.200001,9,3,5,54.375000,"33.000000
"
354,-0.400160,0.074176,0.914024,60.700001,8.800000,24.600000,43,-165,11,54.312500,"33.000000
"
